group,case_id,shear_ms,restart_h,path,frame_h,consider_level,size_of_large_box,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,crop_y1,crop_y2,crop_x1,crop_x2,box_y1,box_y2,box_x1,box_x2,box_large_y1,box_large_y2,box_large_x1,box_large_x2,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,22,5,3,11.0454,33.1361,33.1361,99.4082,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0712766,0.000292636,11.7054,24.4467,1504,19.3293,0.0108957,0.000208512,0.10092,0.223079,22,0.170006,0.0306655,0.00089279,3.88899,6.12595,421,4.92436,2.92221,0.0446646,1786.59,1786.59,11414,1776.21,2.28173,0.0727298,35.2012,35.2012,172,34.9655,2.28173,0.142605,621.186,621.186,2399,619.411,326.32,314.548,1.25819e+07,1.25819e+07,40000,1.25819e+07,326.32,322.461,156071,156071,484,156071,326.32,316.781,1.3799e+06,1.3799e+06,4356,1.3799e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,23,5,3,15.0333,45.0999,45.0999,135.3,15,300,500,300,500,85,115,85,115,55,145,55,145,0.0647199,0.000229771,9.19083,21.785,1344,17.9102,0.0244713,0.000774128,0.696716,1.09093,83,0.998429,0.0553378,0.000690255,5.59106,9.27015,618,7.70638,4.76198,0.0439896,1759.58,1759.58,11416,1751.25,1.57694,0.119288,107.359,107.359,391,107.002,4.76198,0.104748,848.456,848.456,4042,846.22,325.131,314.654,1.25861e+07,1.25861e+07,40000,1.25861e+07,325.131,320.545,288490,288490,900,288490,325.131,316.011,2.55969e+06,2.55969e+06,8100,2.55969e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,0,5,3,20.2237,60.6712,60.6712,182.014,20,300,500,300,500,80,120,80,120,40,160,40,160,0.0555699,0.000217769,8.71074,16.3227,1000,14.4691,0.0360077,0.00297497,4.75996,5.96525,380,5.47749,0.0509173,0.000529724,7.62802,14.0585,900,12.6068,3.88111,0.0392303,1569.21,1569.21,5933,1566.94,3.17085,0.37474,599.583,599.583,1225,599.402,3.88111,0.100892,1452.85,1452.85,5281,1451.28,325.95,314.299,1.2572e+07,1.2572e+07,40000,1.2572e+07,325.95,318.76,510016,510016,1600,510016,325.95,314.453,4.52813e+06,4.52813e+06,14400,4.52813e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,1,5,3,18.6815,56.0446,56.0446,168.134,19,300,500,300,500,81,119,81,119,43,157,43,157,0.0684144,0.000203315,8.1326,15.9285,966,14.1207,0.0396937,0.0019405,2.80209,3.61431,251,3.29639,0.0507076,0.000577173,7.50094,14.2913,894,12.8288,3.06924,0.0374547,1498.19,1498.19,5227,1495.65,2.17483,0.30247,436.766,436.766,1027,436.554,3.06924,0.109548,1423.68,1423.68,4641,1421.95,326.089,314.388,1.25755e+07,1.25755e+07,40000,1.25755e+07,326.089,318.896,460485,460485,1444,460485,326.089,314.575,4.08822e+06,4.08822e+06,12996,4.08822e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,2,5,3,18.3848,55.1543,55.1543,165.463,18,300,500,300,500,82,118,82,118,46,154,46,154,0.0513678,0.000219434,8.77735,17.2632,1004,15.5362,0.0470671,0.0023489,3.04418,3.9708,224,3.58342,0.0513678,0.000706615,8.24195,15.7434,939,14.3385,4.09838,0.040174,1606.96,1606.96,5363,1604.53,4.09838,0.277477,359.61,359.61,973,359.457,4.09838,0.131357,1532.15,1532.15,4911,1530.4,326.694,314.51,1.25804e+07,1.25804e+07,40000,1.25804e+07,326.694,319.615,414220,414220,1296,414220,326.694,314.902,3.67302e+06,3.67302e+06,11664,3.67302e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,3,5,3,10.7703,32.311,32.311,96.933,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0697843,0.000136292,5.45169,13.3771,900,11.8486,0.0292989,0.00197993,0.958287,1.06995,67,1.04668,0.0697843,0.0012742,5.55041,10.5567,730,9.64605,2.85118,0.0367659,1470.63,1470.63,5682,1468.08,2.11569,0.267959,129.692,129.692,196,129.583,2.85118,0.2924,1273.69,1273.69,3610,1273.13,327.181,314.529,1.25812e+07,1.25812e+07,40000,1.25812e+07,327.181,322.542,156110,156110,484,156110,327.181,316.079,1.37684e+06,1.37684e+06,4356,1.37684e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,4,5,3,18.2483,54.7449,54.7449,164.235,18,300,500,300,500,82,118,82,118,46,154,46,154,0.0537116,0.000190366,7.61464,15.926,1081,14.3983,0.0537116,0.00354503,4.59436,5.66578,339,5.43087,0.0537116,0.000649004,7.56998,15.0469,1040,13.5739,4.79966,0.0354427,1417.71,1417.71,5996,1414.48,4.79966,0.414468,537.15,537.15,960,536.945,4.79966,0.118454,1381.65,1381.65,5677,1379.03,326.823,314.563,1.25825e+07,1.25825e+07,40000,1.25825e+07,326.823,319.566,414158,414158,1296,414158,326.823,315.172,3.67617e+06,3.67617e+06,11664,3.67617e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,5,5,3,9.21954,27.6586,27.6586,82.9759,9,300,500,300,500,91,109,91,109,73,127,73,127,0.061824,0.000207268,8.29074,16.2861,1056,14.5336,-4.11298e-06,-3.33156e-05,-0.0107943,0,0,0,0.061824,0.00252022,7.34896,10.0792,673,8.94968,3.29804,0.0372211,1488.84,1488.84,6123,1485.74,0.770321,0.0447944,14.5134,14.5134,72,14.4485,3.29804,0.326754,952.815,952.815,2400,952.566,328.441,314.718,1.25887e+07,1.25887e+07,40000,1.25887e+07,328.441,325.014,105305,105305,324,105305,328.441,317.453,925692,925692,2916,925692
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,6,5,3,18.0278,54.0833,54.0833,162.25,18,300,500,300,500,82,118,82,118,46,154,46,154,0.0537506,0.00021483,8.59321,18.01,1224,15.9275,0.0429301,0.00261298,3.38642,4.16035,295,3.86457,0.0537506,0.000732793,8.5473,16.967,1165,14.9689,3.4968,0.0399852,1599.41,1599.41,6430,1596.28,3.4968,0.350726,454.54,454.54,956,454.351,3.4968,0.132873,1549.84,1549.84,5932,1547.45,328.12,314.75,1.259e+07,1.259e+07,40000,1.259e+07,328.12,320.286,415090,415090,1296,415090,328.12,315.328,3.67799e+06,3.67799e+06,11664,3.67799e+06
weak,weak_8mshear_restart60h,8,60,wrf_ideal_8mshear_restart_at_60h_28sst_minsetup_largeTC_d2.nc,7,5,3,10.7703,32.311,32.311,96.933,11,300,500,300,500,89,111,89,111,67,133,67,133,0.0762585,0.000197957,7.91827,17.2069,1117,14.9853,0.0127965,5.871e-05,0.0284156,0.164,16,0.128954,0.0762585,0.00147634,6.43092,10.503,695,9.27511,4.17817,0.0391258,1565.03,1565.03,6859,1561.06,1.65823,0.126804,61.3731,61.3731,243,61.1817,4.17817,0.237487,1034.49,1034.49,3552,1033.52,327.333,314.678,1.25871e+07,1.25871e+07,40000,1.25871e+07,327.333,323.469,156559,156559,484,156559,327.333,316.954,1.38065e+06,1.38065e+06,4356,1.38065e+06
